Title,Singer,Lyric
오래된 노래,스탠딩 에그,오래전에 함께 듣던 노래가 발걸음을 다시 멈춰 서게 해 이 거리에서 너를 느낄 수 있어 널 이곳에서 꼭 다시 만날 것 같아 너일까 봐 한 번 더 바라보고 너일까 봐 자꾸 돌아보게 돼 어디선가 같은 노래를 듣고 날 생각하며 너 역시 멈춰있을까 오래전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한 번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로 내 사랑이 그대로인 것처럼 발걸음이 여길 찾는 것처럼 꼭 만날 거야 지금 이 노래처럼 날 사랑하는 네 맘도 같을 테니까 오래전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한 번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로 운명처럼 아니면 우연처럼 우리가 다시 예전처럼 만날 수 있다면 너에게 나 해주고 싶은 말이 하나 있어 널 다시는 놓치지 않을게 오래전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한 번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로
스토커,10CM,나도 알아 나의 문제가 무엇인지 난 못났고 별 볼 일 없지 그 애가 나를 부끄러워 한다는 게 슬프지만 내가 뭐라고 빛나는 누군갈 좋아하는 일에 기준이 있는 거라면 이해할 수 없지만 할 말 없는걸 난 안경 쓴 샌님이니까 내가 이렇게 사랑하는데 이렇게 원하는데 나는 아무것도 할 수 없고 바라만 보는데도 내가 그렇게 불편할까요 내가 나쁜 걸까요 아마도 내일도 그 애는 뒷모습만 이제 알아 나의 할 일이 무엇인지 다 포기하고 참아야 하지 저 잘 나가는 너의 남자친구처럼 되고 싶지만 불가능하지 빛나는 누군갈 좋아하는 일에 기준이 있는 거라면 이해할 수 없지만 할 말 없는걸 난 안경 쓴 샌님이니까 내가 이렇게 사랑하는데 이렇게 원하는데 나는 아무것도 할 수 없고 바라만 보는데도 내가 그렇게 불편할까요 내가 나쁜 걸까요 아마도 내일도 그 애는 나는 왜 이런 사람 이런 모습이고 이런 사랑을 하고 나는 아무것도 될 수 없고 바라만 보는데도 내가 그렇게 불편하니까 내가 나쁜 거니까 아마도 내일도 그 애는 나도 알아 나의 문제가 무엇인지
오빠야,신현희와김루트,오빠야 내가 진짜 좋아하는 사람이 생겨서 혼자 끙끙 앓다가 죽어버릴 것만 같아서 얘기를 한다 눈 앞에 아른아른거리는 잘생긴 얼굴 자꾸 귀에 맴도는 그의 촉촉한 목소리 예 네가 좋아하는 그 남자 도대체 누구길래 이렇게나 들뜬 거니 얼굴은 어떻게 생겼는지 무슨 일을 하는지 나는 너무나 궁금해 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 말을 하면 멀어질까 너무 두려워 너를 잃기가 나는 너무 무서워 말을 하면 멀어질까 너무 두려워 너를 잃기가 나는 너무 무서워 예 좋아하는 마음에 떨리는 날들에 더 없이 덧없이 마음이 커지고 두근대는 마음에 설레는 날들에 난 헤어 나올 수 없어 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요 나는 너를 좋아하고 너를 좋아하고 너도 나를 좋아하고 나를 좋아하고 우린 서로 좋아하는데도 그 누구도 말을 안 해요
마음,아이유,툭 웃음이 터지면 그건 너 쿵 내려앉으면은 그건 너 축 머금고 있다면 그건 너 둥 울림이 생긴다면 그건 너 그대를 보며 나는 더운 숨을 쉬어요 아픈 기분이 드는 건 그 때문이겠죠 나를 알아주지 않으셔도 돼요 찾아오지 않으셔도 다만 꺼지지 않는 작은 불빛이 여기 반짝 살아있어요 영영 살아있어요 눈을 떼지 못 해 하루종일 눈이 시려요 슬픈 기분이 드는 건 그 때문이겠죠 제게 대답하지 않으셔도 돼요 달래주지 않으셔도 다만 꺼지지 않는 작은 불빛이 여기 반짝 살아있어요 세상 모든 게 죽고 새로 태어나 다시 늙어갈 때에도 감히 이 마음만은 주름도 없이 여기 반짝 살아있어요 영영 살아있어요 영영 살아있어요
200%,AKMU (악뮤),uh 나를봐 나를봐 나를봐 날 바라봐 바라봐 바라봐 너를 본 내 마음속에 사랑이 내 본능이 고백 빨리 하라 해 네 주위를 둘러싼 수많은 경쟁자 Yes I'm a soldier for you sweet멘트 장전 발사하기 전에 제군들 입 풀었나 yes 완전 간장콩장콩장장 equals 간 콩장장 Yeah I'm ready 아침이 깨는 소리 Morning 바람들은 makes harmony 저물어가는 달빛은 let it go uh 여물어가는 romance 꿈꾸고 good night Hey baby it's comin' new day 새로운 느낌이야 이건 Hey 왜 이래 It's common lovesick 아무래도 이거는 이거는 It must be L O V E 200 percent sure of that I want you really I mean really 정말이야 널 좋아하는데 빨갛게 익은 내 얼굴이 그걸 증명해 나를 봐 나를 봐 나를 봐 날 바라봐 바라봐 바라봐 난 strawberry처럼 very very 상큼한 사람 don't worry worry 어리바리한 그대 주위 사람들은 모두 다 이기주의 밤낮을 걸으며 널 지켜줄 나와 달리 그들은 차 키를 과시하지만 BAD GUY 자다가 일어나 잠꼬대로도 널 찾네 아침이 깨는 소리 Morning 바람들은 makes harmony 저물어가는 달빛은 let it go 여물어가는 romance 꿈꾸고 Hello 어디 가는 거니 where you I'll be there 네가 있는 그 거리 that way 아직 우리 사이 서먹해도 그래도 try는 해봐야지 나라도 It must be L O V E 200 percent sure of that I want you really I mean really 정말이야 널 좋아하는데 빨갛게 익은 내 얼굴이 그걸 증명해 처음이야 이런 기분 멈추질 못하겠어 막 넘쳐 누가 잠가놓은 듯 내 입은 네 앞에서 오물쪼물 안 열려 내 부름에 뒤를 돌아보는 네 두 눈을 보니 I said see you tomorrow Oh baby it can't be over like this someone help me 내 맘을 전할 수 있다면 사실은 나 널 oh please 좋아하는데 I'm sure 모든 걸 담은 이 눈빛이 그걸 증명해 It must be L O V E 200 percent sure of that I want you really I mean really 정말이야 널 좋아하는데 빨갛게 익은 내 얼굴이 그걸 증명해 It must be L O V E
청춘 (Feat. 김창완),김필,언젠간 가겠지 푸르른 이 청춘 지고 또 피는 꽃잎처럼 달밝은 밤이면 창가에 흐르는 내 젊은 연가가 구슬퍼 가고없는 날들을 잡으려 잡으려 빈 손짓에 슬퍼지면 차라리 보내야지 돌아서야지 그렇게 세월은 가는거야 나를 두고 간 님은 용서하겠지만 날 버리고 가는 세월이야 정둘 곳 없어라 허전한 마음은 정답던 옛동산 찾는가 언젠간 가겠지 푸르른 이 청춘 지고 또 피는 꽃잎처럼 달밝은 밤이면 창가에 흐르는 내 젊은 연가가 구슬퍼 가고없는 날들을 잡으려 잡으려 빈 손짓에 슬퍼지면 차라리 보내야지 돌아서야지 그렇게 세월은 가는거야 언젠간 가겠지 푸르른 이 청춘 지고 또 피는 꽃잎처럼 달밝은 밤이면 창가에 흐르는 내 젊은 연가가 구슬퍼
사랑은 은하수 다방에서,10CM,사랑은 은하수 다방 문 앞에서 만나 홍차와 냉커피를 마시며 매일 똑같은 노래를 듣다가 온다네 그대는 물에 젖지 않은 성냥개비 같죠 아무리 싫은 표정 지어도 불타는 그 마음을 감출 수가 없다네 그대 나에게 무슨 말이라도 해주오 나는 찻잔에 무지개를 띄워주리 하루도 이틀도 사흘도 배겨낼 수가 없네 못 살고 못 죽고 그대 없는 홍대 상수동 신촌 이대 이태원 걸어 다닐 수도 없지 그대 나에게 무슨 말이라도 해주오 나는 찻잔에 무지개를 띄워주리 하루도 이틀도 사흘도 배겨낼 수가 없네 못 살고 못 죽고 그대 없는 홍대 상수동 신촌 이대 이태원 걸어 다닐 수도 없지 사랑은 은하수 다방 문 앞에서 만나 홍차와 냉커피를 마시며 매일 똑같은 노래를 듣다가 온다네 사랑은 은하수 다방 문 앞에서 만나 홍차와 냉커피를 마시며 매일 똑같은 노래를 듣다가 온다네 그대 그댈 그댄 그대 그댈 그댄 그대 그대 그댄 대박 대박
Little Star,스탠딩 에그,눈을 감고 내가 하는 이야기를 잘 들어봐 나의 얘기가 끝나기 전에 너는 꿈을 꿀거야 Little star tonight 밤새 내가 지켜줄거야 처음 너를 만났을 때 정말 눈이 부셨어 너의 미소를 처음 봤을 땐 세상을 다 가졌어 Little star tonight 밤새 내가 지켜줄거야 내 품에 안긴 채 곤히 잠든 널 보며 나는 잠시도 눈을 뗄 수 없어 이렇게 예쁜데 숨이 멎을 것 같아 내가 어떻게 잠들 수 있겠니 나의 사랑 나의 전부 하늘이 내린 천사 나의 두 눈을 나의 세상을 모두 훔쳐버렸어 Little star tonight 밤새 내가 지켜줄거야 내 품에 안긴 채 곤히 잠든 널 보며 나는 잠시도 눈을 뗄 수 없어 이렇게 예쁜데 숨이 멎을 것 같아 내가 어떻게 잠들 수 있겠니 눈을 감고 내가 하는 이야기를 잘 들어봐 나의 얘기가 끝나기 전에 너는 꿈을 꿀거야 Little star tonight 밤새 내가 지켜줄거야 내 사랑 tonight 밤새 내가 지켜줄거야 평생 내가 지켜줄거야
Give Love,AKMU (악뮤),니가 날 싫어해 하는 걸 알아 나는 서운해 그런 날 왜 너는 못 이해해 You don't understand 난 너를 좋아한다고 내가 뭘 잘못했는데 내게 왜 그러는데 그럴수록 난 되게 섭섭해 Oh I'm so sad 그러니까 슬슬 Let me come into your 마음 중요한 건 마음 결코 네 얼굴만 보고 좋아하는 거 아니 아니야 날 미워하는 너의 날이 선 말투까지도 사랑하게 된 거 이게 내 맘이야 너에 대한 건 사소한 것도 기억해 난 마니아 아무리 나삐 굴어도 넌 내게 이 순간 만화야 순정만화야 주인공은 맨날 맨날 이렇게 밤마다 기도해 Give Love 사랑을 좀 주세요 Give Love 사랑이 모자라요 매일매일 자라는 사랑을 그녀에게 주는데도 받질 않으니 Give Love 사랑을 좀 주세요 Give Love 사랑이 모자라요 매일매일 자라는 사랑을 그녀에게 주는데도 받질 않으니 Give Love Give Love Give Love 잘못한 것도 없는데 왜 무작정 싫어하고 보는 너 Why can't you understand me 난 너를 좋아한다고 네가 날 싫어해 하는 걸 안 후 부터 샘솟던 의욕이 다 시들고 설레던 내 맘도 끝이겠구나 했는데 또다시 슬금슬금 다가가도 될까 바라보는 것조차 싫어할까 봐 난 몰래 뒤에서 긍긍전전해 점점 해가 지면 달빛 정전에 용기가 나 내 맘을 전부 전해 하지만 그녀와 내 사이 거리 너무 멀어 주고 또 주는 사랑이 길바닥에 다 버려져 낙엽처럼 쌓이네 봄이 되면 흙으로 남아 혹시 기대해 싹이 될까 Give Love 사랑을 좀 주세요 Give Love 사랑이 모자라요 매일매일 자라는 사랑을 그녀에게 주는데도 받질 않으니 Give Love 사랑을 좀 주세요 Give Love 사랑이 모자라요 매일매일 자라는 사랑을 그녀에게 주는데도 받질 않으니 Give Love Give Love Give Love Give Love Give Love Give Love
"그대와 나, 설레임 (Feat. 소울맨)",어쿠스틱 콜라보,나 그대가 너무 좋은데 말하고 싶은데 용기가 안나 나도 그대가 너무 좋은데 말하고 싶은데 용기가 안나 사랑해 말하고 싶은데 이렇게 속만 태우다가 그대가 떠나가 버릴까 늘 바보같이 걱정만 하는 우리 오늘은 떨리는 맘으로 그대 바라보며 고백할게요 나도 오늘은 용기낼래요 그대 바라보며 고백할게요 사랑해 말하고 싶은데 이렇게 속만 태우다가 그대가 떠나가 버릴까 늘 바보같이 걱정만 하는 우리 그대 눈길보면 당황해서 눈을 돌리고 그대 앞에서면 바보같이 얼굴 붉히고 그대를 사랑한다 수없이 연습하고 연습했는데 말도 못하고 사랑해 말하고 싶은데 이렇게 속만 태우다가 그대가 떠나가 버릴까 늘 바보같이 걱정만 하는 우리
